800,600
340,500,1
340,520,1
340,540,1
340,560,1
340,580,1
360,0,1
360,20,1
360,40,1
360,60,1
360,80,2
360,100,2
360,120,2
360,140,2
360,160,3
360,180,3
360,200,3
360,220,3
360,240,2
360,260,3
360,280,1
360,300,1
360,320,1
360,340,1
360,360,1
360,380,1
360,400,1
360,420,1
360,440,1
360,460,1
360,480,1
360,500,1
360,520,1
360,540,1
360,560,1
360,580,1
380,0,1
380,20,1
380,40,1
380,60,1
380,80,2
380,100,2
380,120,2
380,140,3
380,160,1
380,180,1
380,200,1
380,220,1
380,240,2
380,260,3
380,280,1
380,300,1
380,320,1
380,340,1
380,360,1
380,380,1
380,400,1
380,420,1
380,440,1
380,460,1
380,480,1
380,500,1
380,520,1
380,540,1
380,560,1
380,580,1
400,0,1
400,20,1
400,40,1
400,60,1
400,80,2
400,100,2
400,120,2
400,140,2
400,160,2
400,180,2
400,200,2
400,220,2
400,240,2
400,260,3
400,280,1
400,300,1
400,320,1
400,340,1
400,360,1
400,380,1
400,400,1
400,420,1
400,440,1
400,460,1
400,480,1
400,500,1
400,520,1
400,540,1
400,560,1
400,580,1
420,0,1
420,20,1
420,40,1
420,60,1
420,80,2
420,100,2
420,120,2
420,140,2
420,160,2
420,180,2
420,200,2
420,220,2
420,240,2
420,260,3
420,280,1
420,300,1
420,320,1
420,340,1
420,360,1
420,380,1
420,400,1
420,420,1
420,440,1
420,460,1
420,480,1
420,500,1
420,520,1
420,540,1
420,560,1
420,580,1
440,0,1
440,20,1
440,40,1
440,60,1
440,80,2
440,100,2
440,120,2
440,140,2
440,160,2
440,180,2
440,200,2
440,220,2
440,240,2
440,260,3
440,280,1
440,300,1
440,320,1
440,340,1
440,360,1
440,380,1
440,400,1
440,420,1
440,440,1
440,460,1
440,480,1
440,500,1
440,520,1
440,540,1
440,560,1
440,580,1
460,0,1
460,20,1
460,40,1
460,60,1
460,80,2
460,100,2
460,120,2
460,140,2
460,160,2
460,180,2
460,200,2
460,220,2
460,240,2
460,260,3
460,280,1
460,300,1
460,320,1
460,340,1
460,360,1
460,380,1
460,400,1
460,420,1
460,440,1
460,460,1
460,480,1
460,500,1
460,520,1
460,540,1
460,560,1
460,580,1
480,0,1
480,20,1
480,40,1
480,60,1
480,80,2
480,100,2
480,120,2
480,140,2
480,160,3
480,180,3
480,200,3
480,220,3
480,240,2
480,260,3
480,280,1
480,300,1
480,320,1
480,340,1
480,360,1
480,380,1
480,400,1
480,420,1
480,440,1
480,460,1
480,480,1
480,500,1
480,520,1
480,540,1
480,560,1
480,580,1
500,0,1
500,20,1
500,40,1
500,60,1
500,80,2
500,100,2
500,120,2
500,140,3
500,160,1
500,180,1
500,200,1
500,220,1
500,240,2
500,260,3
500,280,1
500,300,1
500,320,1
500,340,1
500,360,1
500,380,1
500,400,1
500,420,1
500,440,1
500,460,1
500,480,1
500,500,1
500,520,1
500,540,1
500,560,1
500,580,1
520,0,1
520,20,1
520,40,1
520,60,1
520,80,2
520,100,2
520,120,2
520,140,2
520,160,2
520,180,2
520,200,2
520,220,2
520,240,2
520,260,3
520,280,1
520,300,1
520,320,1
520,340,1
520,360,1
520,380,1
520,400,1
520,420,1
520,440,1
520,460,1
520,480,1
520,500,1
520,520,1
520,540,1
520,560,1
520,580,1
540,0,1
540,20,1
540,40,1
540,60,1
540,80,2
540,100,2
540,120,2
540,140,2
540,160,2
540,180,2
540,200,2
540,220,2
540,240,2
540,260,3
540,280,1
540,300,1
540,320,1
540,340,1
540,360,1
540,380,1
540,400,1
540,420,1
540,440,1
540,460,1
540,480,1
540,500,1
540,520,1
540,540,1
540,560,1
540,580,1
560,0,1
560,20,1
560,40,1
560,60,1
560,80,2
560,100,2
560,120,2
560,140,2
560,160,2
560,180,2
560,200,2
560,220,2
560,240,2
560,260,3
560,280,1
560,300,1
560,320,1
560,340,1
560,360,1
560,380,1
560,400,1
560,420,1
560,440,1
560,460,1
560,480,1
560,500,1
560,520,1
560,540,1
560,560,1
560,580,1
580,0,1
580,20,1
580,40,1
580,60,1
580,80,2
580,100,2
580,120,2
580,140,2
580,160,2
580,180,2
580,200,2
580,220,2
580,240,2
580,260,3
580,280,1
580,300,1
580,320,1
580,340,1
580,360,1
580,380,1
580,400,1
580,420,1
580,440,1
580,460,1
580,480,1
580,500,1
580,520,1
580,540,1
580,560,1
580,580,1
600,0,1
600,20,1
600,40,1
600,60,1
600,80,2
600,100,2
600,120,2
600,140,2
600,160,3
600,180,3
600,200,3
600,220,3
600,240,2
600,260,3
600,280,1
600,300,1
600,320,1
600,340,1
600,360,1
600,380,1
600,400,1
600,420,1
600,440,1
600,460,1
600,480,1
600,500,1
600,520,1
600,540,1
600,560,1
600,580,1
620,0,1
620,20,1
620,40,1
620,60,1
620,80,2
620,100,2
620,120,2
620,140,3
620,160,1
620,180,1
620,200,1
620,220,1
620,240,2
620,260,3
620,280,1
620,300,1
620,320,1
620,340,1
620,360,1
620,380,1
620,400,1
620,420,1
620,440,1
620,460,1
620,480,1
620,500,1
620,520,1
620,540,1
620,560,1
620,580,1
640,0,1
640,20,1
640,40,1
640,60,1
640,80,2
640,100,2
640,120,2
640,140,2
640,160,2
640,180,2
640,200,2
640,220,2
640,240,2
640,260,3
640,280,1
640,300,1
640,320,1
640,340,1
640,360,1
640,380,1
640,400,1
640,420,1
640,440,1
640,460,1
640,480,1
640,500,1
640,520,1
640,540,1
640,560,1
640,580,1
660,0,1
660,20,1
660,40,1
660,60,1
660,80,2
660,100,2
660,120,2
660,140,2
660,160,2
660,180,2
660,200,2
660,220,2
660,240,2
660,260,3
660,280,1
660,300,1
660,320,1
660,340,1
660,360,1
660,380,1
660,400,1
660,420,1
660,440,1
660,460,1
660,480,1
660,500,1
660,520,1
660,540,1
660,560,1
660,580,1
680,0,1
680,20,1
680,40,1
680,60,1
680,80,2
680,100,2
680,120,2
680,140,2
680,160,2
680,180,2
680,200,2
680,220,2
680,240,2
680,260,3
680,280,1
680,300,1
680,320,1
680,340,1
680,360,1
680,380,1
680,400,1
680,420,1
680,440,1
680,460,1
680,480,1
680,500,1
680,520,1
680,540,1
680,560,1
680,580,1
700,0,1
700,20,1
700,40,1
700,60,1
700,80,2
700,100,2
700,120,2
700,140,2
700,160,2
700,180,2
700,200,2
700,220,2
700,240,2
700,260,3
700,280,1
700,300,1
700,320,1
700,340,1
700,360,1
700,380,1
700,400,1
700,420,1
700,440,1
700,460,1
700,480,1
700,500,1
700,520,1
700,540,1
700,560,1
700,580,1
720,0,1
720,20,1
720,40,1
720,60,1
720,80,2
720,100,2
720,120,2
720,140,2
720,160,2
720,180,1
720,200,1
720,220,1
720,240,1
720,260,1
720,280,1
720,300,1
720,320,1
720,340,1
720,360,1
720,380,1
720,400,1
720,420,1
720,440,1
720,460,1
720,480,1
720,500,1
720,520,1
720,540,1
720,560,1
720,580,1
740,0,1
740,20,1
740,40,1
740,60,1
740,80,2
740,100,2
740,120,2
740,140,2
740,160,2
740,180,1
740,200,1
740,220,1
740,240,1
740,260,1
740,280,1
740,300,1
740,320,1
740,340,1
740,360,1
740,380,1
740,400,1
740,420,1
740,440,1
740,460,1
740,480,1
740,500,1
740,520,1
740,540,1
740,560,1
740,580,1
760,0,1
760,20,1
760,40,1
760,60,1
760,80,1
760,100,1
760,120,1
760,140,1
760,160,1
760,180,1
760,200,1
760,220,1
760,240,1
760,260,1
760,280,1
760,300,1
760,320,1
760,340,1
760,360,1
760,380,1
760,400,1
760,420,1
760,440,1
760,460,1
760,480,1
760,500,1
760,520,1
760,540,1
760,560,1
760,580,1
780,0,1
780,20,1
780,40,1
780,60,1
780,80,1
780,100,1
780,120,1
780,140,1
780,160,1
780,180,1
780,200,1
780,220,1
780,240,1
780,260,1
780,280,1
780,300,1
780,320,1
780,340,1
780,360,1
780,380,1
780,400,1
780,420,1
780,440,1
780,460,1
780,480,1
780,500,1
780,520,1
780,540,1
780,560,1
780,580,1
728,154,0
